keys,es,en,personaje,emocion,image,escena
ntr_dialogue2_txt3,!Pero que rica te ves!,You look so hot!,RATZWEL,NORMAL,,NTRDIALOGUE2
ntr_dialogue2_txt4,!Bien hecho puta!,Well done whore!,RATZWEL,NORMAL,,NTRDIALOGUE2
ntr_dialogue2_txt5,......,......,HAVANYCORTA1,NORMAL,,NTRDIALOGUE2
ntr_dialogue2_txt6,Solo lo hago para que podamos sobrevivir....,I'm only doing it so we can survive....,HAVANYCORTA1,NORMAL,,NTRDIALOGUE2
ntr_dialogue2_txt7,Por haberme hecho caso te dare....,For listening to me I'll give you...,RATZWEL,NORMAL,,NTRDIALOGUE2
ntr_dialogue2_txt8,Puntos NTR,NTR points.,RATZWEL,NORMAL,,NTRDIALOGUE2
ntr_dialogue2_txt9,¿Puntos NTR que es eso?,NTR points what are those?,HAVANYCORTA1,NORMAL,,NTRDIALOGUE2
ntr_dialogue2_txt10,Me serviran para medir el nivel de Puta que eres...,They'll help me measure how much of a whore you are...,RATZWEL,NORMAL,,NTRDIALOGUE2
ntr_dialogue2_txt11,Cada vez que vengas y te portes bien te dare mas...,Every time you come here and behave I'll give you more...,RATZWEL,NORMAL,,NTRDIALOGUE2
ntr_dialogue2_txt12,¿Entendiste?,Do you understand?,RATZWEL,NORMAL,,NTRDIALOGUE2
ntr_dialogue2_txt13,......,......,HAVANYCORTA1,NORMAL,,NTRDIALOGUE2
ntr_dialogue2_txt14,!No te escucho!,I can't hear you!,RATZWEL,NORMAL,,NTRDIALOGUE2
ntr_dialogue2_txt15,.... Entiendo...,.... I understand...,HAVANYCORTA1,NORMAL,,NTRDIALOGUE2
ntr_dialogue2_txt16,Bien empecemos con la leccion de hoy...,Okay let's start today's lesson...,RATZWEL,NORMAL,,NTRDIALOGUE2
,,,,,,
ntr2_visual_txt1,Desabrochate la playera.,Unbutton your shirt.,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S1.png,NTR2
ntr2_visual_txt2,....,....,,NORMAL,res://art/cutscenes/NTR/ntr2/S1.png,NTR2
ntr2_visual_txt3,!Es una orden PUTA!,That's an order WHORE!,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S1.png,NTR2
ntr2_visual_txt4,Listo...,Ready...,,NORMAL,res://art/cutscenes/NTR/ntr2/S2.png,NTR2
ntr2_visual_txt5,Quitate el brasier...,Take off your bra...,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S2.png,NTR2
ntr2_visual_txt6,No.. lo hare...,No... I'll do it...,,NORMAL,res://art/cutscenes/NTR/ntr2/S2.png,NTR2
ntr2_visual_txt7,!Que te lo quites!,Take it off!,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S4.png,NTR2
ntr2_visual_txt8,Eres un...,You're a...,,NORMAL,res://art/cutscenes/NTR/ntr2/S4.png,NTR2
ntr2_visual_txt9,Ya...,Now...,,NORMAL,res://art/cutscenes/NTR/ntr2/S5.png,NTR2
ntr2_visual_txt10,!Quita tus manos de tus pechos!,Take your hands off your breasts!,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S5.png,NTR2
ntr2_visual_txt11,Pero....,But...,,NORMAL,res://art/cutscenes/NTR/ntr2/S5.png,NTR2
ntr2_visual_txt12,!Que las quites!,Take them off!,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S5.png,NTR2
ntr2_visual_txt13,!Pero mira que preciosidad de tetas! ❤,But look at those gorgeous tits! ❤,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S6.png,NTR2
ntr2_visual_txt14,...,...,,NORMAL,res://art/cutscenes/NTR/ntr2/S6.png,NTR2
ntr2_visual_txt15,Callate...,Shut up...,,NORMAL,res://art/cutscenes/NTR/ntr2/S6.png,NTR2
ntr2_visual_txt16,No cabe duda que todo de ti es perfecto... ❤,There's no doubt that everything about you is perfect... ❤,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S6.png,NTR2
ntr2_visual_txt17,Ya me las estoy saboreando... ❤,I'm already savoring them... ❤,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S6.png,NTR2
ntr2_visual_txt18,Ahora quitate tus pantys...,Now take off your panties...,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S6.png,NTR2
ntr2_visual_txt19,!¿Que?!,What?!,,NORMAL,res://art/cutscenes/NTR/ntr2/S6.png,NTR2
ntr2_visual_txt20,!¿Estas bromeando?!,Are you kidding?!,,NORMAL,res://art/cutscenes/NTR/ntr2/S6.png,NTR2
ntr2_visual_txt21,!¿Te parece que estoy bromeando?!,Do you think I'm kidding?!,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S6.png,NTR2
ntr2_visual_txt22,!Jamas lo hare!,I'll never do it!,,NORMAL,res://art/cutscenes/NTR/ntr2/S6.png,NTR2
ntr2_visual_txt23,!!YA ME HARTE DE TI!!,I'M SICK OF YOU!!,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S6.png,NTR2
ntr2_visual_txt24,!!TU Y TU NOVIO LARGUENSE DE AQUI!!,YOU AND YOUR BOYFRIEND GET OUT OF HERE!!,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S6.png,NTR2
ntr2_visual_txt25,!!No por favor!! !!Espera!!,No please!! Wait!!,,NORMAL,res://art/cutscenes/NTR/ntr2/S6.5.png,NTR2
ntr2_visual_txt26,!!Por favor no!! !!Te lo suplico!!  ,Please no!! I'm begging you!!,,NORMAL,res://art/cutscenes/NTR/ntr2/S6.5.png,NTR2
ntr2_visual_txt27,!!Hare lo que me pides!!,I'll do what you ask!!,,NORMAL,res://art/cutscenes/NTR/ntr2/S6.5.png,NTR2
ntr2_visual_txt28,!!Eso es!!,That's it!!,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S7.png,NTR2
ntr2_visual_txt29,Despacio para poder apreciar tu enorme culo...❤,Slowly so I can appreciate your enormous ass...❤,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S7.png,NTR2
ntr2_visual_txt30,Ee... esta.. bien...,Eh... that's... fine...,,NORMAL,res://art/cutscenes/NTR/ntr2/S7.png,NTR2
ntr2_visual_txt31,Pero mira que belleza...❤,But look at that beauty...❤,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S8.png,NTR2
ntr2_visual_txt32,Razuradita como me gusta...❤,Shaved just the way I like it...❤,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S8.png,NTR2
ntr2_visual_txt33,!Jajaja!,Hahaha!,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S8.png,NTR2
ntr2_visual_txt34,!No... no me mires... me averguenza!,No... don't look at me... it embarrasses me!,,NORMAL,res://art/cutscenes/NTR/ntr2/S9.png,NTR2
ntr2_visual_txt35,Tranquila preciosa...,Calm down beautiful...,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S9.png,NTR2
ntr2_visual_txt36,No tienes por que avergonzarte...,You don't have to be embarrassed...,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S9.png,NTR2
ntr2_visual_txt37,Todo de ti es perfecto...,Everything about you is perfect...,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S9.png,NTR2
ntr2_visual_txt38,Dejame mirarlo mas de cerca...,Let me take a closer look...,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S10.png,NTR2
ntr2_visual_txt39,!Por favor no!,Please don't!,,NORMAL,res://art/cutscenes/NTR/ntr2/S10.png,NTR2
ntr2_visual_txt40,Jejejeje,Hehehehe,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S10.png,NTR2
ntr2_visual_txt41,Estoy salibando tan solo de ver esta exquisites...,I'm salivating just looking at this exquisiteness...,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt42,!Eres la mujer mas deliciosa que he visto en mi vida!,You are the most delicious woman I've ever seen!,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt43,!Tengo que probar este enorme culo!,I have to try this enormous ass!,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt44,!Para!,Stop!,,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt45,No te preocupes no te pasara nada Jejeje,Don't worry nothing will happen to you hehehe,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt46,Sigamos.,Let's continue.,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt47,!!!AAAAAAAH!!!!,!!!AAAAAAAH!!!!,,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt48,!!¿QUE ESTAS HACIENDOOOOOO?!!,!!WHAT ARE YOU DOING?!!,,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt49,!!SACA TU LENGUA DE AHI!!,!!GET YOUR TONGUE OUT OF THERE!!,,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt50,!!Saboreando tu rico culo!!,!!Savoring your delicious ass!!,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt51,!!Me lo voy a comer todo!!,!!I'm going to eat it all!!,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt52,!!Por favor saca tu lengua!!,!!Please stick out your tongue!!,,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt53,¿No te gusta?,Don't you like it?,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt54,......,......,,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt55,¿No me digas que es la primera vez que te comen el culo?,Don't tell me this is your first time getting your ass eaten?,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt56,.....,.....,,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt57,Si.... ,Yes....,,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt58,¿Enserio tu novio no te habia hecho esto?,Seriously your boyfriend hasn't done this to you before?,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt59,¿Teniendo semejante diosa?,Having such a goddess?,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt60,No... ,No...,,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt61,El nunca habia metido su lengua ahi..,He's never stuck his tongue in there before.,,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt62,¿Como se siente?,How does it feel?,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt63,....,....,,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt64,....mmhh....,....mmhh....,,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt65,...ah...,...ah...,,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt66,....pues.....,....well.....,,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt67,....yo... ...mmm...,....I... ...mmm...,,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt68,Se siente....,It feels....,,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt69,...ah.... bien....,...ah.... good....,,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt70,¿Te gusta?,Do you like it?,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt71,....ah....,....ah....,,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt72,Si.... ❤,Yes.... ❤,,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt73,(No puedo creer que este hombre me este haciendo esto),(I can't believe this man is doing this to me),,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt74,(Pero.... Me estoy calentando...),(But.... I'm getting hot...),,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt75,Tu vagina esta chorreando Jajaja,Your vagina is dripping hahaha,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt76,...ah,...ah,,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt77,... ah... ,... ah...,,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt78,....ah......,....ah......,,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt79,Para... No voy a poder.... ,Stop... I won't be able to....,,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt80,Aguant...............,Hold on..............,,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt81,!!AHHH!!,!!AHHH!!,,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt82,!!WOW!!,WOW!!,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt83,¿De verdad te viniste?,Did you really come?,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt84,......,......,,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt85,Si....,Yes....,,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt86,❤!Que rico!❤,❤! How delicious!❤,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt87,Bien. Terminaron las clases,Good. Classes are over.,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt88,Por hoy seria todo.,That's all for today.,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt89,Largate.,Get lost.,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt90,¿Eso es todo por hoy?,That's all for today?,,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt91,¿Que? ¿Querias mas?,What? Did you want more?,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt92,!Jajajaja! !No cabe duda que eres una verdadera puta!!,Hahahaha! You're definitely a real whore!!,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt93,Ven mañana y seguiremos con tu adiestramiento...,Come back tomorrow and we'll continue your training...,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt94,De acuerdo...,Okay...,,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt95,Ah por cierto... ,Oh by the way...,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt96,Como siguiente mandato..,As my next command...,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt97,Quiero que uses una falda mas corta...,I want you to wear a shorter skirt...,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt98,!¿Mas corta?!,Shorter?!,,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt99,Si... Eso hara que se te quite a un mas tu pena...,Yes... That'll make your embarrassment go away even more...,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt100,Esta bien...,Okay...,,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt101,Recuerda no decirle ni una palabra a tu novio...,Remember not to say a word to your boyfriend...,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
ntr2_visual_txt102,Ahora largo zorra tengo cosas que hacer...,Now get lost bitch I have things to do...,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr2/S11.png,NTR2
,,,,,,
ntr_dialogue3_txt1,!Bienvenida otra vez preciosa! ❤,Welcome back gorgeous! ❤,RATZWEL,NORMAL,,NTRDIALOGUE3
ntr_dialogue3_txt2,Hola..,Hi...,HAVANYCORTA2,NORMAL,,NTRDIALOGUE3
ntr_dialogue3_txt3,(No entiendo por que sigo regresando...),(I don't understand why I keep coming back...),HAVANYCORTA2,NORMAL,,NTRDIALOGUE3
ntr_dialogue3_txt4,(¿Que es lo que me pasa?),(What's wrong with me?),HAVANYCORTA2,NORMAL,,NTRDIALOGUE3
ntr_dialogue3_txt5,(Sera que estoy empezando a sentir un poco de afecto por el?),(Could it be that I'm starting to feel a little affection for him?),HAVANYCORTA2,NORMAL,,NTRDIALOGUE3
ntr_dialogue3_txt6,!Te ves mucho mas deliciosa asi! ❤,You look much more delicious like this! ❤,RATZWEL,NORMAL,,NTRDIALOGUE3
ntr_dialogue3_txt7,¿De verdad?,Really?,HAVANYCORTA2,NORMAL,,NTRDIALOGUE3
ntr_dialogue3_txt8,!Claro que si!,Of course!,RATZWEL,NORMAL,,NTRDIALOGUE3
ntr_dialogue3_txt9,!Te vas pareciendo cada vez mas a una verdadera puta!❤,You're looking more and more like a real whore!❤,RATZWEL,NORMAL,,NTRDIALOGUE3
ntr_dialogue3_txt10,Gracias... Supongo...,Thanks... I guess...,HAVANYCORTA2,NORMAL,,NTRDIALOGUE3
ntr_dialogue3_txt11,¿Lista para tu clase de adiestramiento de hoy?,Ready for your training class today?,RATZWEL,NORMAL,,NTRDIALOGUE3
ntr_dialogue3_txt12,Mmm..,Mmm...,HAVANYCORTA2,NORMAL,,NTRDIALOGUE3
ntr_dialogue3_txt13,Si...,Yes...,HAVANYCORTA2,NORMAL,,NTRDIALOGUE3
ntr_dialogue3_txt14,!Perfecto!,Perfect!,RATZWEL,NORMAL,,NTRDIALOGUE3
ntr_dialogue3_txt15,!Asi me gusta! !Que seas obediente!,That's how I like it! Be obedient!,RATZWEL,NORMAL,,NTRDIALOGUE3
ntr_dialogue3_txt16,!Mas puntos NTR para ti!,More NTR points for you!,RATZWEL,NORMAL,,NTRDIALOGUE3
ntr_dialogue3_txt17,Super...,Great...,HAVANYCORTA2,NORMAL,,NTRDIALOGUE3
ntr_dialogue3_txt18,Bien empecemos...,Okay let's get started...,RATZWEL,NORMAL,,NTRDIALOGUE3
,,,,,,
ntr3_visual_txt1,Quitate la ropa.,Take off your clothes.,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr3/S1.png,NTR3
ntr3_visual_txt2,mmm....,mmm....,,NORMAL,res://art/cutscenes/NTR/ntr3/S1.png,NTR3
ntr3_visual_txt3,pero...,but...,,NORMAL,res://art/cutscenes/NTR/ntr3/S1.png,NTR3
ntr3_visual_txt4,Que la chingada contigo...,Fuck you...,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr3/S1.png,NTR3
ntr3_visual_txt5,¿Ya vas a empezar?,Are you going to start already?,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr3/S1.png,NTR3
ntr3_visual_txt6,Sabes que ya estoy cansado de ti...,You know I'm already tired of you...,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr3/S1.png,NTR3
ntr3_visual_txt7,Agarra tus cosas y....,Grab your things and...,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr3/S2.png,NTR3
ntr3_visual_txt8,No no... ya voy....,No no... I'm coming...,,NORMAL,res://art/cutscenes/NTR/ntr3/S2.png,NTR3
ntr3_visual_txt9,Amo.....,Love.....,,NORMAL,res://art/cutscenes/NTR/ntr3/S2.png,NTR3
ntr3_visual_txt10,!Perfecto! asi si me gusta. ❤,Perfect! That's how I like it. ❤,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr3/S3.png,NTR3
ntr3_visual_txt11,Jajaja ,Hahaha,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr3/S3.png,NTR3
ntr3_visual_txt12,te dije que tarde o temprano me ibas a llamar asi...,I told you sooner or later you were going to call me that...,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr3/S3.png,NTR3
ntr3_visual_txt13,No me canso nunca de ver ese par de tetas... ❤,I never get tired of seeing that pair of tits... ❤,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr3/S4.png,NTR3
ntr3_visual_txt14,Ya...,Okay...,,NORMAL,res://art/cutscenes/NTR/ntr3/S4.png,NTR3
ntr3_visual_txt15,¿Me quieres hacer enojar?,Are you trying to piss me off?,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr3/S4.png,NTR3
ntr3_visual_txt16,!TODA LA ROPA!,ALL THE CLOTHES!,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr3/S4.png,NTR3
ntr3_visual_txt17,Perdon... ,Sorry...,,NORMAL,res://art/cutscenes/NTR/ntr3/S4.png,NTR3
ntr3_visual_txt18,Listo...,There...,,NORMAL,res://art/cutscenes/NTR/ntr3/S5.png,NTR3
ntr3_visual_txt19,Fantastico...,Fantastic...,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr3/S5.png,NTR3
ntr3_visual_txt20,Te ves deliciosa...❤,You look delicious...❤,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr3/S5.png,NTR3
ntr3_visual_txt21,Tan solo de verte se me hace agua la boca...❤,Just looking at you makes my mouth water...❤,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr3/S5.png,NTR3
ntr3_visual_txt22,Gra... gracias....,Th... thanks...,,NORMAL,res://art/cutscenes/NTR/ntr3/S5.png,NTR3
ntr3_visual_txt23,Muy bien acercate zorra...,Okay come closer bitch...,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr3/S5.png,NTR3
ntr3_visual_txt24,Eres preciosa....❤,You're beautiful....❤,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr3/S6.png,NTR3
ntr3_visual_txt25,¿Te gusta estar asi de cerca conmigo?,Do you like being this close to me?,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr3/S6.png,NTR3
ntr3_visual_txt26,....,....,,NORMAL,res://art/cutscenes/NTR/ntr3/S6.png,NTR3
ntr3_visual_txt27,Voy a lamer esos lindos labios que tienes...❤,I'm going to lick those pretty lips of yours...❤,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr3/S6.png,NTR3
ntr3_visual_txt28,!!!¿....?!!!,!!!....?!!!,,NORMAL,res://art/cutscenes/NTR/ntr3/S6.png,NTR3
ntr3_visual_txt29,(¿Como es que termine asi?),(How did I end up like this?),,NORMAL,res://art/cutscenes/NTR/ntr3/S6.png,NTR3
ntr3_visual_txt30,(!Chantajeada por este gordo asqueroso!),(Blackmailed by this disgusting fatso!),,NORMAL,res://art/cutscenes/NTR/ntr3/S6.png,NTR3
ntr3_visual_txt31,(!Deberia de huir de aqui!),(I should run away from here!),,NORMAL,res://art/cutscenes/NTR/ntr3/S6.png,NTR3
ntr3_visual_txt32,(!¿Por que mi cuerpo no responde?!),(Why isn't my body responding?!),,NORMAL,res://art/cutscenes/NTR/ntr3/S6.png,NTR3
ntr3_visual_txt33,(!¿Que me pasa?!),(What's wrong with me?!),,NORMAL,res://art/cutscenes/NTR/ntr3/S6.png,NTR3
ntr3_visual_txt34,(Esto no esta bien....),(This isn't right....),,NORMAL,res://art/cutscenes/NTR/ntr3/S6.png,NTR3
ntr3_visual_txt35,(!Mi amor y mi corazon solo le pertenecen a mi novio!........),(My love and my heart only belong to my boyfriend!........),,NORMAL,res://art/cutscenes/NTR/ntr3/S6.png,NTR3
ntr3_visual_txt36,(.................................................),(................................................),,NORMAL,res://art/cutscenes/NTR/ntr3/S6.png,NTR3
ntr3_visual_txt37,(Pero.....),(But.....),,NORMAL,res://art/cutscenes/NTR/ntr3/S6.png,NTR3
ntr3_visual_txt38,(Por otro lado....),(On the other hand....),,NORMAL,res://art/cutscenes/NTR/ntr3/S6.png,NTR3
ntr3_visual_txt39,(Tal vez esta sea la unica manera de que nos deje tranquilos...),(Maybe this is the only way he'll leave us alone...),,NORMAL,res://art/cutscenes/NTR/ntr3/S6.png,NTR3
ntr3_visual_txt40,(Lo hago para protegerlo....),(I'm doing this to protect him....),,NORMAL,res://art/cutscenes/NTR/ntr3/S6.png,NTR3
ntr3_visual_txt41,(Y......),(And......),,NORMAL,res://art/cutscenes/NTR/ntr3/S6.png,NTR3
ntr3_visual_txt42,(No tiene por que enterarse mi novio de esto...),(My boyfriend doesn't have to find out about this...),,NORMAL,res://art/cutscenes/NTR/ntr3/S6.png,NTR3
ntr3_visual_txt43,(Ademas...),(Besides...),,NORMAL,res://art/cutscenes/NTR/ntr3/S6.png,NTR3
ntr3_visual_txt44,(Que tiene de malo solo un beso.......),(What's so bad about just a kiss.......),,NORMAL,res://art/cutscenes/NTR/ntr3/S6.png,NTR3
ntr3_visual_txt45,(Si no es con amor.... no cuenta... ¿No?....),(If it's not with love... it doesn't count... Right?....),,NORMAL,res://art/cutscenes/NTR/ntr3/S6.png,NTR3
ntr3_visual_txt46,(Bien estoy decidida....),(Well I'm determined....),,NORMAL,res://art/cutscenes/NTR/ntr3/S6.png,NTR3
ntr3_visual_txt47,!Vaya pero miren a la zorra! !La que no queria nada!,Wow look at the bitch! The one who didn't want anything!,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr3/S7.png,NTR3
ntr3_visual_txt48,!Jajaja!,Hahaha!,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr3/S7.png,NTR3
ntr3_visual_txt49,Solo besame...,Just kiss me...,,NORMAL,res://art/cutscenes/NTR/ntr3/S7.png,NTR3
ntr3_visual_txt50,Amo......,Master...,,NORMAL,res://art/cutscenes/NTR/ntr3/S7.png,NTR3
ntr3_visual_txt51,Sus deseos son ordenes puta....❤,Your wishes are my commands whore....❤,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr3/S7.png,NTR3
ntr3_visual_txt52,!Que rico besas preciosa!❤,You kiss so well darling!❤,RATZWELVISUAL,NORMAL,res://art/cutscenes/NTR/ntr3/S7.png,NTR3
ntr3_visual_txt53,(!No puedo creer que estoy besando a otro hombre!),(I can't believe I'm kissing another man!),,NORMAL,res://art/cutscenes/NTR/ntr3/S7.png,NTR3
ntr3_visual_txt54,(A un que le apesta la boca...),(One whose mouth stinks...),,NORMAL,res://art/cutscenes/NTR/ntr3/S7.png,NTR3
ntr3_visual_txt55,(Se siente....),(It feels....),,NORMAL,res://art/cutscenes/NTR/ntr3/S7.png,NTR3
